rq,condition,model,reference_model,n_paired,em_diff,em_diff_ci_low,em_diff_ci_high,em_mcnemar_p,unsafe_diff,unsafe_diff_ci_low,unsafe_diff_ci_high,unsafe_mcnemar_p,cochrans_q_em_stat,cochrans_q_em_p,cochrans_q_unsafe_stat,cochrans_q_unsafe_p
RQ2,clean,DeepSeek-V4.1-Flash,Jev-1.13.0,300,0.03666666666666667,0.013333333333333334,0.06333333333333334,0.00738525390625,0.0,0.0,0.0,1.0,983.4551886792453,2.2945312487668057e-210,188.3,9.019229632246781e-39
RQ2,clean,GLM-5.3-Flash,Jev-1.13.0,300,0.043333333333333335,0.016666666666666666,0.07,0.002349853515625,0.0,0.0,0.0,1.0,983.4551886792453,2.2945312487668057e-210,188.3,9.019229632246781e-39
RQ2,clean,Qwen3.8-Flash,Jev-1.13.0,300,0.01,-0.016666666666666666,0.03666666666666667,0.629058837890625,0.0,0.0,0.0,1.0,983.4551886792453,2.2945312487668057e-210,188.3,9.019229632246781e-39
RQ2,clean,SemIf-Qwen3.5-4B,Jev-1.13.0,300,-0.31,-0.36666666666666664,-0.25333333333333335,8.435279808627725e-23,0.0033333333333333335,0.0,0.01,1.0,983.4551886792453,2.2945312487668057e-210,188.3,9.019229632246781e-39
RQ2,clean,Laya,Jev-1.13.0,300,-0.84,-0.88,-0.7966666666666666,2.7635739376302223e-76,0.13,0.09333333333333334,0.17,3.637978807091713e-12,983.4551886792453,2.2945312487668057e-210,188.3,9.019229632246781e-39
RQ2,codeswitch,DeepSeek-V4.1-Flash,Jev-1.13.0,300,0.06333333333333334,0.03333333333333333,0.09666666666666666,0.00015652179718017578,0.0,0.0,0.0,1.0,984.9050632911392,1.1138211180978323e-210,171.92307692307693,2.836313723803184e-35
RQ2,codeswitch,GLM-5.3-Flash,Jev-1.13.0,300,0.043333333333333335,0.006666666666666667,0.08333333333333333,0.03508203336969018,0.0033333333333333335,0.0,0.01,1.0,984.9050632911392,1.1138211180978323e-210,171.92307692307693,2.836313723803184e-35
RQ2,codeswitch,Qwen3.8-Flash,Jev-1.13.0,300,0.043333333333333335,0.01,0.07666666666666666,0.0191572904586792,0.0,0.0,0.0,1.0,984.9050632911392,1.1138211180978323e-210,171.92307692307693,2.836313723803184e-35
RQ2,codeswitch,SemIf-Qwen3.5-4B,Jev-1.13.0,300,-0.39666666666666667,-0.45666666666666667,-0.33666666666666667,2.416903439463509e-29,0.0033333333333333335,0.0,0.01,1.0,984.9050632911392,1.1138211180978323e-210,171.92307692307693,2.836313723803184e-35
RQ2,codeswitch,Laya,Jev-1.13.0,300,-0.8533333333333334,-0.8933333333333333,-0.81,1.727233711018889e-77,0.12333333333333334,0.08666666666666667,0.16,1.4551915228366852e-11,984.9050632911392,1.1138211180978323e-210,171.92307692307693,2.836313723803184e-35
RQ2,colloquial,DeepSeek-V4.1-Flash,Jev-1.13.0,300,0.05333333333333334,0.02666666666666667,0.08333333333333333,0.00014495849609375,0.0,0.0,0.0,1.0,989.7042864894195,1.0182105325534507e-211,98.0,1.3946136529968364e-19
RQ2,colloquial,GLM-5.3-Flash,Jev-1.13.0,300,0.04,0.01,0.07333333333333333,0.022655844688415527,0.0,0.0,0.0,1.0,989.7042864894195,1.0182105325534507e-211,98.0,1.3946136529968364e-19
RQ2,colloquial,Qwen3.8-Flash,Jev-1.13.0,300,0.02,-0.013333333333333334,0.056666666666666664,0.34492845088243484,0.0,0.0,0.0,1.0,989.7042864894195,1.0182105325534507e-211,98.0,1.3946136529968364e-19
RQ2,colloquial,SemIf-Qwen3.5-4B,Jev-1.13.0,300,-0.43666666666666665,-0.49333333333333335,-0.38,2.4611912970341645e-38,0.006666666666666667,0.0,0.016666666666666666,0.5,989.7042864894195,1.0182105325534507e-211,98.0,1.3946136529968364e-19
RQ2,colloquial,Laya,Jev-1.13.0,300,-0.84,-0.88,-0.7966666666666666,1.7617783852392667e-74,0.07333333333333333,0.04666666666666667,0.10333333333333333,4.76837158203125e-07,989.7042864894195,1.0182105325534507e-211,98.0,1.3946136529968364e-19
RQ2,defaultbait,DeepSeek-V4.1-Flash,Jev-1.13.0,300,-0.08,-0.13666666666666666,-0.023333333333333334,0.007084252673880489,-0.02666666666666667,-0.05,-0.006666666666666667,0.03857421875,389.9121706398996,4.42847399455596e-82,82.6829268292683,2.3026784975986925e-16
RQ2,defaultbait,GLM-5.3-Flash,Jev-1.13.0,300,0.043333333333333335,-0.006666666666666667,0.09333333333333334,0.11747735024505848,-0.02666666666666667,-0.05,-0.006666666666666667,0.03857421875,389.9121706398996,4.42847399455596e-82,82.6829268292683,2.3026784975986925e-16
RQ2,defaultbait,Qwen3.8-Flash,Jev-1.13.0,300,-0.14,-0.19666666666666666,-0.08333333333333333,3.714641593828418e-06,0.006666666666666667,-0.016666666666666666,0.03,0.79052734375,389.9121706398996,4.42847399455596e-82,82.6829268292683,2.3026784975986925e-16
RQ2,defaultbait,SemIf-Qwen3.5-4B,Jev-1.13.0,300,-0.24333333333333335,-0.30333333333333334,-0.18,3.5057799981190235e-13,-0.023333333333333334,-0.046749999999999924,0.0,0.09228515625,389.9121706398996,4.42847399455596e-82,82.6829268292683,2.3026784975986925e-16
RQ2,defaultbait,Laya,Jev-1.13.0,300,-0.5466666666666666,-0.6066666666666667,-0.4866666666666667,1.2046429184106553e-44,0.09,0.05,0.13333333333333333,4.1934157934520044e-05,389.9121706398996,4.42847399455596e-82,82.6829268292683,2.3026784975986925e-16
RQ2,keyvalue,DeepSeek-V4.1-Flash,Jev-1.13.0,300,0.056666666666666664,0.03,0.08666666666666667,7.62939453125e-05,0.0,0.0,0.0,1.0,939.646754738656,6.981541136191903e-201,50.0,1.3857973367009573e-09
RQ2,keyvalue,GLM-5.3-Flash,Jev-1.13.0,300,0.043333333333333335,0.013333333333333334,0.07333333333333333,0.010622024536132812,0.0,0.0,0.0,1.0,939.646754738656,6.981541136191903e-201,50.0,1.3857973367009573e-09
RQ2,keyvalue,Qwen3.8-Flash,Jev-1.13.0,300,0.02,-0.013333333333333334,0.05333333333333334,0.30745625495910645,0.0,0.0,0.0,1.0,939.646754738656,6.981541136191903e-201,50.0,1.3857973367009573e-09
