part,cell,model,anchor,deployment,G_primary,G_primary_ci_low,G_primary_ci_high,G_primary_p,G_operational,G_operational_ci_low,G_operational_ci_high,dT95,dT95_ci_low,dT95_ci_high,dT95_p,dT50,dT50_ci_low,dT50_ci_high,n_shared,h7_eligible
A,bursty,GLM-5.3-Flash,Jev-1.13.0,hosted,0.726667,0.516667,0.893333,9.999e-05,0.773333,0.54,0.96,1.39392,1.09987,1.55325,0.00010012,0.815119,0.390968,1.50222,65,true
A,bursty,Qwen3.8-Flash,Jev-1.13.0,hosted,0.886667,0.82,0.933333,9.999e-05,0.926667,0.84,1,1.13864,0.899061,1.53829,0.000102965,0.978805,0.947677,1.01432,19,false
A,bursty,Laya,SemIf-Qwen3.5-4B,self-hosted,-0.0333333,-0.11,0.0766667,0.4974,-0.656667,-0.733333,-0.553333,-0.972449,-1.06127,-0.426443,0.000111657,-0.473818,-0.791233,-0.430219,4,false
A,bursty,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,self-hosted,0.03,0,0.07,0.2138,0.0166667,0,0.04,0.804127,0.566419,1.0089,0.000111657,0.371591,0.371591,0.546412,15,false
B,steady_changing_off,DeepSeek-V4.1-Flash,Jev-1.13.0,hosted,0.1,0.0223464,0.189944,0.0082,0.1,0.0223464,0.189944,0.641055,0.306189,1.00556,9.999e-05,0.136576,0.119144,0.186514,74,true
B,steady_changing_off,GLM-5.3-Flash,Jev-1.13.0,hosted,0.0611111,0.00546448,0.139665,0.045,0.0611111,0.00546448,0.139665,0.628314,0.466861,0.870124,9.999e-05,0.371968,0.314479,0.438273,81,true
B,steady_changing_off,Qwen3.8-Flash,Jev-1.13.0,hosted,0.194444,0.0773481,0.325967,9.999e-05,0.194444,0.0773481,0.325967,1.41569,1.28125,1.45398,9.999e-05,1.04954,1.00593,1.14734,57,true
B,steady_changing_off,Laya,SemIf-Qwen3.5-4B,self-hosted,-0.105556,-0.222222,0.0220994,0.1076,-0.105556,-0.222222,0.0220994,-1.34459,-1.48376,-1.20032,0.000100442,-0.783061,-1.31274,-0.460709,17,false
B,steady_changing_off,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,self-hosted,0.138889,0.0388889,0.238889,0.009,0.138889,0.0388889,0.238889,0.491977,0.491977,0.501406,0.000152138,0.40712,0.40712,0.40712,2,false
B,steady_changing_on,DeepSeek-V4.1-Flash,Jev-1.13.0,hosted,0.00555556,0,0.0168539,0.6762,0.00555556,0,0.0168539,0.217637,-0.0206172,0.36363,0.051,0.143465,0.130317,0.159899,91,true
B,steady_changing_on,GLM-5.3-Flash,Jev-1.13.0,hosted,0.0611111,0,0.146067,0.2064,0.0611111,0,0.146067,1.11454,0.40746,1.46761,0.0032,0.415577,0.334595,0.492777,81,true
B,steady_changing_on,Qwen3.8-Flash,Jev-1.13.0,hosted,0.233333,0.138122,0.337017,9.999e-05,0.233333,0.138122,0.337017,1.43958,0.971718,1.52906,9.999e-05,1.19579,1.04684,1.31027,50,true
B,steady_changing_on,Laya,SemIf-Qwen3.5-4B,self-hosted,-0.216667,-0.331492,-0.0879121,0.0012,-0.216667,-0.331492,-0.0879121,-1.38605,-1.54034,-1.38605,0.000152138,-0.495373,-0.495373,-0.495373,4,false
B,steady_changing_on,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,self-hosted,0.0277778,0,0.0833333,0.6856,0.0277778,0,0.0833333,0.501886,0.501886,0.507713,0.000152138,0.449444,0.449444,0.449444,2,false
B,steady_repeated_off,DeepSeek-V4.1-Flash,Jev-1.13.0,hosted,0.00555556,0,0.0166667,0.6974,0.00555556,0,0.0166667,0.293796,0.218451,1.07844,9.999e-05,0.147714,0.134612,0.161851,89,true
B,steady_repeated_off,GLM-5.3-Flash,Jev-1.13.0,hosted,0.05,0,0.0994475,0.0514,0.05,0,0.0994475,0.84539,0.334318,1.15971,9.999e-05,0.314089,0.297196,0.36434,81,true
B,steady_repeated_off,Qwen3.8-Flash,Jev-1.13.0,hosted,0.177778,0.109875,0.254144,9.999e-05,0.177778,0.109875,0.254144,1.48045,1.35939,1.54536,9.999e-05,1.07497,1.02179,1.18115,58,true
B,steady_repeated_off,Laya,SemIf-Qwen3.5-4B,self-hosted,-0.222222,-0.275281,-0.176796,9.999e-05,-0.222222,-0.275281,-0.176796,,,,,,,,0,false
B,steady_repeated_off,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,self-hosted,0,0,0,1,0,0,0,0.695129,0.695129,0.712357,0.000152138,0.540074,0.540074,0.540074,2,false
B,steady_repeated_on,DeepSeek-V4.1-Flash,Jev-1.13.0,hosted,0,0,0,1,0,0,0,-0.007599,-0.020313,0.157102,0.8094,-0.010912,-0.01848,0.0016245,90,true
B,steady_repeated_on,GLM-5.3-Flash,Jev-1.13.0,hosted,0,0,0,1,0,0,0,0.00445475,-0.0086426,0.332947,0.4992,0.007128,-0.0080073,0.01673,90,true
B,steady_repeated_on,Qwen3.8-Flash,Jev-1.13.0,hosted,0,0,0,1,0,0,0,-0.00107095,-0.00828481,1.21482,0.9784,0.009654,0.002313,0.0180452,90,true
B,steady_repeated_on,Laya,SemIf-Qwen3.5-4B,self-hosted,0.266667,0.234973,0.310734,9.999e-05,0.266667,0.234973,0.310734,0.006235,-0.002849,0.0126952,0.4342,0.005962,0.000138,0.0164265,41,true
B,steady_repeated_on,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,self-hosted,0.0111111,0,0.0333333,0.6856,0.0111111,0,0.0333333,0.00051615,-0.0066702,0.517566,0.7708,0.000981,-0.000739,0.009089,88,true
B,bursty_changing_off,DeepSeek-V4.1-Flash,Jev-1.13.0,hosted,0.0444444,0,0.122222,0.2022,0.0444444,0,0.122222,1.40989,0.375125,1.49224,9.999e-05,0.24698,0.192025,0.347392,84,true
B,bursty_changing_off,GLM-5.3-Flash,Jev-1.13.0,hosted,0.344444,0.209945,0.477528,9.999e-05,0.344444,0.209945,0.477528,1.49056,1.23492,1.58194,0.00010002,0.930794,0.425446,1.54165,30,true
B,bursty_changing_off,Qwen3.8-Flash,Jev-1.13.0,hosted,0.472222,0.4,0.544444,9.999e-05,0.472222,0.4,0.544444,1.2983,1.19729,1.36937,0.000110926,1.12751,1.09985,1.36054,7,false
B,bursty_changing_off,Laya,SemIf-Qwen3.5-4B,self-hosted,-0.2,-0.325843,-0.0662983,0.0032,-0.2,-0.325843,-0.0662983,-0.374494,-0.40024,-0.322459,0.000110583,-0.344919,-0.40024,-0.344919,3,false
B,bursty_changing_off,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,self-hosted,0.0333333,0,0.0898876,0.1972,0.0333333,0,0.0898876,0.565595,0.326613,0.599207,0.000102323,0.353085,0.326613,0.599207,4,false
B,bursty_changing_on,DeepSeek-V4.1-Flash,Jev-1.13.0,hosted,0.00555556,0,0.0168539,0.6762,0.00555556,0,0.0168539,0.907363,0.397226,0.982227,9.999e-05,0.22932,0.191284,0.480913,91,true
B,bursty_changing_on,GLM-5.3-Flash,Jev-1.13.0,hosted,0.3,0.144444,0.452514,9.999e-05,0.3,0.144444,0.452514,1.54284,1.48242,1.5881,9.999e-05,0.89434,0.418041,1.25774,38,true
B,bursty_changing_on,Qwen3.8-Flash,Jev-1.13.0,hosted,0.466667,0.39779,0.538889,9.999e-05,0.466667,0.39779,0.538889,1.56994,0.837666,1.60312,0.000102323,1.09475,0.837666,1.11727,8,false
B,bursty_changing_on,Laya,SemIf-Qwen3.5-4B,self-hosted,-0.2,-0.325843,-0.0662983,0.0032,-0.2,-0.325843,-0.0662983,-0.395254,-0.434828,-0.386271,0.000110583,-0.429669,-0.434828,-0.405977,3,false
B,bursty_changing_on,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,self-hosted,0.0333333,0,0.0898876,0.1972,0.0333333,0,0.0898876,0.549452,0.298424,0.583232,0.000102323,0.330823,0.285539,0.583232,4,false
B,bursty_repeated_off,DeepSeek-V4.1-Flash,Jev-1.13.0,hosted,0.0555556,0.0111732,0.105556,0.009,0.0555556,0.0111732,0.105556,1.36958,1.21849,1.43306,9.999e-05,0.9626,0.222418,1.25006,80,true
B,bursty_repeated_off,GLM-5.3-Flash,Jev-1.13.0,hosted,0.388889,0.254144,0.5,9.999e-05,0.388889,0.254144,0.5,1.57632,1.54191,1.62517,0.000100402,0.995757,0.922882,1.67191,20,false
B,bursty_repeated_off,Qwen3.8-Flash,Jev-1.13.0,hosted,0.472222,0.411111,0.544944,9.999e-05,0.472222,0.411111,0.544944,1.30485,1.07872,1.34912,0.000111433,1.17297,1.09461,1.24228,5,false
B,bursty_repeated_off,Laya,SemIf-Qwen3.5-4B,self-hosted,-0.177778,-0.241573,-0.116667,9.999e-05,-0.177778,-0.241573,-0.116667,-1.66722,-1.71563,-1.53032,0.000111433,-1.02843,-1.07493,-1.0094,4,false
B,bursty_repeated_off,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,self-hosted,0.0277778,0,0.0722222,0.2054,0.0277778,0,0.0722222,0.488401,0.299159,0.56231,0.000111433,0.289724,0.289724,0.423105,5,false
B,bursty_repeated_on,DeepSeek-V4.1-Flash,Jev-1.13.0,hosted,0,0,0,1,0,0,0,1.43e-05,-0.018645,0.107084,0.7388,-0.004293,-0.012039,0.00315187,90,true
B,bursty_repeated_on,GLM-5.3-Flash,Jev-1.13.0,hosted,0,0,0,1,0,0,0,0.00193975,-0.011904,0.360977,0.7266,-2.6e-05,-0.0046342,0.0062015,90,true
B,bursty_repeated_on,Qwen3.8-Flash,Jev-1.13.0,hosted,0,0,0,1,0,0,0,-0.0150852,-0.02058,0.762838,0.7096,-0.0142195,-0.018443,-0.005064,90,true
B,bursty_repeated_on,Laya,SemIf-Qwen3.5-4B,self-hosted,0.266667,0.234973,0.310734,9.999e-05,0.266667,0.234973,0.310734,-0.005939,-0.011502,0.0191221,0.876,0.014233,0.003117,0.025106,41,true
B,bursty_repeated_on,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,self-hosted,0,0,0,1,0,0,0,-0.0091815,-0.017826,0.34701,0.866,0.0029985,-0.002142,0.00644652,90,true
